pincode,place,state,district,lat,lng
721659,Barsimulbari,West Bengal,East Midnapore,22.0208,87.7744
722101,Bankura H.O,West Bengal,Bankura,23.2505,87.3849
722102,Lokepur,West Bengal,Bankura,23.2505,87.3849
722121,Araldihi,West Bengal,Bankura,23.387,87.1052
722122,Salda,West Bengal,Bankura,23.141,87.135
722132,Gouripur,West Bengal,Bankura,22.9876,87.4276
722133,Kusthalia,West Bengal,Bankura,23.141,87.135
722134,Basudebpur,West Bengal,Bankura,23.141,87.135
722135,Ambikanagar,West Bengal,Bankura,23.3801,87.1009
722136,Keliapathar,West Bengal,Bankura,23.141,87.135
722137,Besora,West Bengal,Bankura,23.141,87.135
722138,Hetia,West Bengal,Bankura,23.141,87.135
722139,Kenjakura,West Bengal,Bankura,23.141,87.135
722140,Kashipur,West Bengal,Bankura,23.0481,87.049
722141,Kotalpur,West Bengal,Bankura,23.141,87.135
722142,Brindabanpur Barsal,West Bengal,Bankura,23.4756,87.2248
722143,Pabra,West Bengal,Bankura,23.5673,87.108
722144,Mankhamar,West Bengal,Bankura,23.141,87.135
722146,Bikurdih,West Bengal,Bankura,23.141,87.135
722147,Ramsagar,West Bengal,Bankura,23.3554,87.1768
722148,Ghagra-haludkanali,West Bengal,Bankura,23.141,87.135
722149,Murakati Saltora,West Bengal,Bankura,23.3554,87.1768
722150,Penchara Deuli,West Bengal,Bankura,22.7619,87.0212
722151,Kitchka,West Bengal,Bankura,23.141,87.135
722152,Chawkshyampur,West Bengal,Bankura,23.2608,87.0361
722153,Bamuntore,West Bengal,Bankura,23.1554,87.3394
722154,Asurali,West Bengal,Bankura,23.141,87.135
722155,Purandarpur,West Bengal,Bankura,23.141,87.135
722156,Bhutsahar,West Bengal,Bankura,22.9655,87.1613
722157,Panchal,West Bengal,Bankura,23.2279,87.2881
722158,Matukbani,West Bengal,Bankura,23.5227,86.936
722160,Dahala,West Bengal,Bankura,22.9274,87.0137
722161,Gopinathpur,West Bengal,Bankura,23.141,87.135
722162,Fulkusma,West Bengal,Bankura,23.141,87.135
722164,Morar,West Bengal,Bankura,22.9793,87.3579
722173,Saldiha,West Bengal,Bankura,23.1715,86.8339
722183,Mejia Th Power Station,West Bengal,Bankura,23.2505,87.3849
722201,Dighalgram,West Bengal,Bankura,23.141,87.135
722202,Krishnanagar,West Bengal,Bankura,23.141,87.135
722203,Jagannathpur,West Bengal,Bankura,23.043,87.5309
722204,Hatasuria,West Bengal,Bankura,23.141,87.135
722205,Paharpur,West Bengal,Bankura,23.141,87.135
722206,Pandua,West Bengal,Bankura,23.141,87.135
722207,Hamirhati,West Bengal,Bankura,23.141,87.135
722208,Pakhanna,West Bengal,Bankura,23.141,87.135
723101,Chowkbazar (Puruliya),West Bengal,Purulia,23.2774,86.4183
723102,Dulmi-nadiha,West Bengal,Purulia,23.2774,86.4183
723103,Gengara,West Bengal,Purulia,23.2774,86.4183
723104,Khairipihira Rangadih,West Bengal,Purulia,23.2774,86.4183
723121,Rampur,West Bengal,Purulia,23.6244,86.8734
723126,Chuna,West Bengal,Purulia,23.3808,86.4697
723127,Barabhum,West Bengal,Purulia,23.3989,86.7677
723128,Dhakakendu,West Bengal,Purulia,23.274,86.4902
723129,Dhadka,West Bengal,Purulia,23.2774,86.4183
723130,Pabrapahari,West Bengal,Purulia,23.3072,86.262
723131,Ratiakocha,West Bengal,Purulia,23.2774,86.4183
723132,Tara,West Bengal,Purulia,23.2774,86.4183
723133,Santuri,West Bengal,Purulia,23.4704,86.4988
723142,Ramkanali,West Bengal,Purulia,23.2774,86.4183
723143,Rangadih,West Bengal,Purulia,23.2774,86.4183
723145,Bogra,West Bengal,Purulia,23.2842,85.9267
723146,Santaldih T.P.,West Bengal,Purulia,23.4672,86.63305
723147,Chharrah,West Bengal,Purulia,23.2872,85.9225
723148,Hutmura,West Bengal,Purulia,23.2774,86.4183
723149,Belkuri,West Bengal,Purulia,23.2774,86.4183
723151,Badra,West Bengal,Purulia,23.2774,86.4183
723152,Birgram,West Bengal,Purulia,23.2075,85.98
723153,Suklara,West Bengal,Purulia,23.1906,86.3502
723154,Aharrah,West Bengal,Purulia,23.2752,86.1983
